date,open,high,low,close,volume,average,barCount
2026-02-10 03:00:00,5054.5,5060.1,5049.6,5060.1,233.0,5054.33,181
2026-02-10 03:05:00,5060.3,5063.0,5055.2,5057.4,202.0,5059.79,164
2026-02-10 03:10:00,5058.3,5060.5,5052.9,5054.4,278.0,5057.05,210
2026-02-10 03:15:00,5054.8,5062.4,5054.2,5061.5,100.0,5058.95,82
2026-02-10 03:20:00,5061.8,5063.0,5057.4,5059.9,152.0,5060.71,127
2026-02-10 03:25:00,5060.0,5062.0,5056.6,5057.3,99.0,5058.74,88
2026-02-10 03:30:00,5057.5,5061.8,5056.0,5060.0,111.0,5058.67,89
2026-02-10 03:35:00,5060.1,5067.2,5059.7,5065.6,177.0,5063.89,137
2026-02-10 03:40:00,5066.2,5071.0,5064.8,5070.9,348.0,5069.11,213
2026-02-10 03:45:00,5070.3,5077.1,5068.8,5072.7,414.0,5073.86,298
2026-02-10 03:50:00,5072.9,5072.9,5067.3,5069.5,241.0,5069.98,174
2026-02-10 03:55:00,5069.1,5069.1,5060.2,5063.8,698.0,5063.99,574
2026-02-10 04:00:00,5063.6,5073.4,5062.6,5071.5,322.0,5068.39,241
2026-02-10 04:05:00,5071.7,5085.3,5069.8,5079.6,404.0,5076.93,319
2026-02-10 04:10:00,5079.8,5080.5,5073.0,5073.6,228.0,5077.07,173
2026-02-10 04:15:00,5074.1,5075.4,5067.4,5070.9,276.0,5071.56,212
2026-02-10 04:20:00,5070.1,5077.7,5068.6,5075.8,250.0,5073.66,198
2026-02-10 04:25:00,5075.6,5077.8,5074.2,5074.5,226.0,5075.77,165
2026-02-10 04:30:00,5074.5,5075.5,5067.6,5069.0,279.0,5071.34,235
2026-02-10 04:35:00,5067.8,5071.8,5067.5,5069.5,177.0,5069.61,157
2026-02-10 04:40:00,5068.9,5071.7,5067.7,5071.2,210.0,5069.99,164
2026-02-10 04:45:00,5071.2,5072.0,5066.1,5068.4,288.0,5068.47,212
2026-02-10 04:50:00,5068.4,5071.0,5066.3,5067.0,470.0,5068.73,365
2026-02-10 04:55:00,5067.7,5069.2,5063.4,5068.5,351.0,5066.23,274
2026-02-10 05:00:00,5068.6,5075.0,5067.9,5071.8,496.0,5072.09,357
2026-02-10 05:05:00,5071.7,5073.4,5070.0,5071.1,303.0,5071.09,220
2026-02-10 05:10:00,5071.7,5071.7,5063.4,5063.9,327.0,5066.39,254
2026-02-10 05:15:00,5063.3,5064.7,5059.9,5063.7,441.0,5062.66,300
2026-02-10 05:20:00,5063.4,5071.6,5061.5,5071.6,408.0,5066.12,310
2026-02-10 05:25:00,5071.0,5073.3,5069.1,5069.8,352.0,5070.98,224
2026-02-10 05:30:00,5069.8,5078.0,5068.1,5075.1,976.0,5072.45,645
2026-02-10 05:35:00,5075.3,5079.8,5073.3,5077.4,326.0,5075.99,262
2026-02-10 05:40:00,5078.2,5081.3,5076.5,5077.2,305.0,5079.36,220
2026-02-10 05:45:00,5077.8,5079.7,5076.2,5077.6,258.0,5077.54,187
2026-02-10 05:50:00,5077.4,5080.2,5072.6,5072.9,300.0,5077.51,230
2026-02-10 05:55:00,5072.1,5073.2,5066.8,5070.2,254.0,5069.89,206
2026-02-10 06:00:00,5069.5,5071.2,5067.4,5069.4,195.0,5069.46,143
2026-02-10 06:05:00,5069.1,5076.0,5069.0,5076.0,181.0,5072.91,129
2026-02-10 06:10:00,5076.2,5076.2,5072.3,5073.7,91.0,5074.18,71
2026-02-10 06:15:00,5073.8,5074.8,5069.1,5071.0,115.0,5072.16,90
2026-02-10 06:20:00,5070.5,5071.2,5068.4,5069.7,84.0,5069.65,67
2026-02-10 06:25:00,5069.4,5071.7,5069.0,5071.7,98.0,5070.04,76
2026-02-10 06:30:00,5070.4,5073.5,5070.4,5073.5,101.0,5071.57,70
2026-02-10 06:35:00,5073.9,5077.0,5069.7,5073.7,244.0,5073.46,177
2026-02-10 06:40:00,5074.0,5076.5,5069.0,5070.7,446.0,5072.29,289
2026-02-10 06:45:00,5070.4,5075.1,5068.2,5074.8,250.0,5071.08,183
2026-02-10 06:50:00,5074.8,5080.3,5074.8,5078.6,356.0,5077.6,265
2026-02-10 06:55:00,5078.5,5081.0,5075.2,5079.0,198.0,5078.83,137
2026-02-10 07:00:00,5079.7,5080.7,5074.8,5075.5,312.0,5077.89,221
2026-02-10 07:05:00,5075.7,5075.8,5064.4,5069.0,391.0,5069.43,288
2026-02-10 07:10:00,5068.9,5069.8,5064.4,5067.2,335.0,5066.78,243
2026-02-10 07:15:00,5066.8,5075.0,5066.0,5072.0,318.0,5070.8,244
2026-02-10 07:20:00,5071.3,5072.7,5065.4,5069.1,400.0,5068.91,269
2026-02-10 07:25:00,5068.8,5070.6,5066.2,5069.0,157.0,5068.67,122
2026-02-10 07:30:00,5070.0,5070.9,5064.5,5067.6,284.0,5068.43,186
2026-02-10 07:35:00,5067.4,5070.0,5067.2,5068.5,230.0,5069.46,134
2026-02-10 07:40:00,5067.8,5067.8,5044.7,5051.8,854.0,5058.41,602
2026-02-10 07:45:00,5051.8,5051.8,5043.1,5048.1,732.0,5048.03,580
2026-02-10 07:50:00,5048.3,5058.0,5042.0,5050.8,847.0,5049.53,596
2026-02-10 07:55:00,5051.7,5057.0,5050.0,5054.9,396.0,5054.93,266
2026-02-10 08:00:00,5055.0,5057.2,5048.6,5052.8,632.0,5053.13,485
2026-02-10 08:05:00,5053.1,5060.0,5052.7,5056.2,584.0,5057.11,389
2026-02-10 08:10:00,5056.1,5064.9,5055.2,5064.8,560.0,5059.74,411
2026-02-10 08:15:00,5064.2,5069.0,5062.3,5067.5,462.0,5065.77,325
2026-02-10 08:20:00,5068.2,5069.0,5060.2,5060.9,419.0,5064.63,322
2026-02-10 08:25:00,5061.5,5061.5,5055.5,5059.3,268.0,5058.69,215
2026-02-10 08:30:00,5060.7,5082.4,5060.7,5075.3,1327.0,5074.18,1014
2026-02-10 08:35:00,5075.0,5079.3,5069.0,5071.7,700.0,5074.34,509
2026-02-10 08:40:00,5071.0,5076.0,5070.8,5074.9,243.0,5073.51,178
2026-02-10 08:45:00,5075.9,5080.2,5071.9,5078.5,478.0,5077.15,345
2026-02-10 08:50:00,5077.8,5079.0,5074.7,5075.3,296.0,5076.78,216
2026-02-10 08:55:00,5075.7,5078.2,5072.0,5074.1,278.0,5075.66,211
2026-02-10 09:00:00,5074.1,5077.9,5069.4,5071.7,547.0,5073.46,365
2026-02-10 09:05:00,5072.1,5080.9,5070.6,5079.4,397.0,5075.91,286
2026-02-10 09:10:00,5079.6,5082.0,5075.9,5079.5,332.0,5078.46,228
