date,symbol,open,high,low,close,volume
2026-02-10 21:25:00,TVC:GOLD,5027.911,5029.08,5022.91,5027.945,7134.0
2026-02-10 21:30:00,TVC:GOLD,5028.189,5031.49,5027.075,5030.74,5185.0
2026-02-10 21:35:00,TVC:GOLD,5030.53,5031.48,5027.935,5028.85,5919.0
2026-02-10 21:40:00,TVC:GOLD,5029.42,5036.75,5028.85,5036.25,6362.0
2026-02-10 21:45:00,TVC:GOLD,5036.14,5045.7,5034.015,5035.76,9024.0
2026-02-10 21:50:00,TVC:GOLD,5035.53,5038.81,5031.965,5033.665,9828.0
2026-02-10 21:55:00,TVC:GOLD,5033.861,5037.03,5027.548,5029.955,11615.0
2026-02-10 22:00:00,TVC:GOLD,5030.254,5032.82,5026.338,5028.21,4304.0
2026-02-10 22:05:00,TVC:GOLD,5028.4,5028.83,5026.345,5026.601,3051.0
2026-02-10 22:10:00,TVC:GOLD,5026.43,5029.903,5025.305,5029.28,2603.0
2026-02-10 22:15:00,TVC:GOLD,5029.35,5029.914,5027.43,5027.98,7219.0
2026-02-10 22:20:00,TVC:GOLD,5027.59,5028.563,5024.36,5025.12,7655.0
2026-02-10 22:25:00,TVC:GOLD,5025.59,5026.386,5022.75,5025.98,8917.0
2026-02-10 22:30:00,TVC:GOLD,5026.129,5028.394,5025.0,5025.45,9564.0
2026-02-10 22:35:00,TVC:GOLD,5026.139,5026.895,5023.82,5024.29,4651.0
2026-02-10 22:40:00,TVC:GOLD,5024.74,5026.45,5022.66,5024.03,2848.0
2026-02-10 22:45:00,TVC:GOLD,5023.74,5025.37,5019.93,5023.32,3982.0
2026-02-10 22:50:00,TVC:GOLD,5022.91,5027.41,5022.8,5025.86,2761.0
